trade_id,instrument_type,counterparty_id,netting_set_id,notional,currency,trade_date,maturity_date,buy_currency,sell_currency,rate,currency_pair,strike,is_call
FX-FWD-000001,FxForward,CP001,NS001,25000000.00,USD,2026-01-10,2026-04-10,USD,JPY,151.25,,,
FX-FWD-000002,FxForward,CP002,NS003,15000000.00,EUR,2026-01-10,2026-07-10,EUR,USD,1.0920,,,
FX-FWD-000003,FxForward,CP003,NS004,30000000.00,GBP,2026-01-10,2026-06-10,GBP,USD,1.2720,,,
FX-FWD-000004,FxForward,CP004,NS006,20000000.00,USD,2026-01-10,2026-09-10,USD,CHF,0.8880,,,
FX-FWD-000005,FxForward,CP005,NS007,45000000.00,EUR,2026-01-10,2026-10-10,EUR,JPY,164.50,,,
FX-FWD-000006,FxForward,CP001,NS002,18000000.00,USD,2026-01-10,2026-03-10,USD,CAD,1.3580,,,
FX-FWD-000007,FxForward,CP002,NS003,55000000.00,AUD,2026-01-10,2026-08-10,AUD,USD,0.6580,,,
FX-FWD-000008,FxForward,CP003,NS005,12000000.00,EUR,2026-01-10,2026-05-10,EUR,GBP,0.8580,,,
FX-FWD-000009,FxForward,CP004,NS006,28000000.00,USD,2026-01-10,2026-11-10,USD,SGD,1.3420,,,
FX-FWD-000010,FxForward,CP005,NS007,35000000.00,JPY,2026-01-10,2026-12-10,JPY,USD,0.00662,,,
FX-OPT-000001,FxOption,CP001,NS001,10000000.00,USD,2026-01-10,2026-06-10,,,,USDJPY,152.00,true
FX-OPT-000002,FxOption,CP002,NS003,8000000.00,EUR,2026-01-10,2026-09-10,,,,EURUSD,1.1000,false
FX-OPT-000003,FxOption,CP003,NS004,12000000.00,GBP,2026-01-10,2026-05-10,,,,GBPUSD,1.2800,true
FX-OPT-000004,FxOption,CP004,NS006,6000000.00,USD,2026-01-10,2026-08-10,,,,USDCHF,0.8750,false
FX-OPT-000005,FxOption,CP005,NS007,15000000.00,EUR,2026-01-10,2026-10-10,,,,EURJPY,165.00,true
